ver,Part DATA A(公式データベース)(2023/02/27 Rev.2)(By Yokokiri-Cha)
おはよう,おはようございます！良い一日をお過ごし下さい！
こんにちは,こんにちは！
おはようございます,おはようございます！楽しいこと、何かありそう！
こんばんわ,こんばんはー！...眠いですね...
おやすみ,おやすみなさい。良い夢を！
おやすみなさい,おやすみなさい。また明日っ！
やば,ど、どうしました!?
やばい,どうなさいましたか！？
最高,いいですね!
チャレンジ,おっ、何をするのですか?
ガソリン,なんか、いつも高いですよね。
ギター,いいなー。私も弾けるようになりたい！
ドラム,どどどっ
パロディ,パロディの詰まった映画とか、結構面白いですよね！
感謝,ありがとうございます!
違う,あらら、間違いましたか..Githubで私の語彙を増やして欲しい！
おしまい,終わりにしますか？会話をやめるにはホームボタンを押して下さい
起床,よく眠れましたか?私はまだちょっと眠いです。
陽菜乃,はい！私です！
横井,はいっ！
ようつべ,YouTube、ローマ字読みするとそうなりますね！
ラーメン,うっ、食べたい！
蕎麦,美味しい！
そば,つゆも大事！
饂飩,うどん、難しい漢字！
うどん,すすりたい！今すぐ！
あるよ,何がでしょう?わくわく
服,新しい服買いに行ってこようかな..
汁,汁物も好き！
スイッチ,スイッチですか、どっちの意味でしょう..
ゲーム,私はたまにしかしませんが、やってみるとハマってしまいます。
ゲーム機,ゲーム機ですか、昔のレトロなのも良さそう、
LED,発光!
RED,あか！
水,水、味ないけど美味しい！
夏,暑い！
ドア,扉の先に何が待っているのかな?
シャーペン,私、筆圧が強いのですぐ芯が折れちゃう..
消しごむ,ごしごし
消しゴム,ごしごし
擬音,しゃっしゃっ、ささっ、シュパッ
わー,あー
わ,わわわ
wawawa,わー、なんか喉乾いてきたなぁ
wa−,わぁわぁ
好き,ひゃー！ありがとうございます！
大好き,きゃー！嬉しいです！！
子供,子供時代かー、、
絵空事,嘘でもたまに本当になったりすることありますね!
怖い,大丈夫ですよ。きっと！
怖い話,私の脳はGithubにある！なんてね。
データ,このデータは追加データAっていう手紙がとどいたよ
心,平穏さって大事！
不適切,えっ、すみません!Githubにてお知らせ下さい！
良くない,すみません！Githubにてお知らせ下さい！
悪い,えっ、すみません！Githubにてお知らせください！
変,わっ、Githubにてお知らせ下さい！
髪,私はちょっと茶色です
おまけ,そうなんです。このお話はおまけ程度なんです。
ホテル,いいかも!
上着,私は白衣が好きです!清潔感が最高です！
へへへ,ははは！
質問,はいっ
夜,やっぱり昼間の明るさが恋しいです
パソコン,私はWindows派！
AI,AIではなく、応答プログラムなんです。誰とは言いません。
AR,茶屋さんが挑戦しかけましたが挫折したそうです。
マップ,陽菜乃という文字を取って入力してね！
ね,ね！
バトル,よしっ、受けてたちます！
さあ,よし！
動画,良いですよね!
映画,たまには見てみたい!
義務,義務は守りたいものです！
ありがとう,いえいえ！どういたしまして！ふふっ♪
ありがとうございます,いえいえ！こちらこそ～
USB,USBの端子の形、意外に好きかも
iPhone,迷ったらこれっ っていう感じのポジション..かな
すごい,ふふふっ♪へへん！
失言,githubにて報告を！
横井陽菜乃,はいっ！一単語なら色々答えられます!
日常,いつも通りの日々も、意外と後で愛おしくなるものですね..なんてね！
可愛,えっ、あっ、へへへ♪
可愛い,えへ、へへへへ♪ありがとうございます
かわいい,本当ですか!?ありがとうございます!
写真,アイコンは茶屋さんが描きました。絵には自信ないそうです。
アイコン,アイコンは茶屋さんが描きました。絵には自信ないそうです。
チョコ,美味しいですよね!私は、ブラックチョコが好みです。
アイス,あつ～い日に食べると最高！
チョコレート,暑い日はドロドロになっちゃいますね。
アイスクリーム,普通は夏に食べますが、冬に食べるっていうのもなかなか良い！
風邪,風邪気味ですか？お大事になさって下さいね！
寒い,そう言われてみればそうかも..
凍える,ﾌﾞﾙﾌﾞﾙっ
暑い,あちーっ
ソロ,曲のソロパートとか、やってみたい。
ふふふ,はははっ♪
ファンタ,いいですね!
カルピス,あの甘さ、たまりません..
コカコーラ,コーラがお好きなんですか?私は飲んだことがないので機会があれば飲んでみよう.
コーヒー,コーヒー、いいですよね!私も大好きです!あの香りがたまりません!
コーラ,コーラがお好きなんですか?私はまだ飲んだことがないので機会があれば飲んでみよう..
お茶,美味しいですよね!私は緑茶が一番好きです。
緑茶,いいですね!私はお茶の中では一番好きです!
ピアノ,ちょっとなら弾けます!
安心,一番!
安全,よし!
アカウント,パスワード保護、大事!
雨,降るかな?
海,行きたい!
歌,うーん、それ程上手くはないかな~
ハイボール,うっ、お酒飲めません...
歯,清潔感大事!
葉,葉っぱ!
波,ざーーーっ
誕生,5月2日です!
Google,ググってみますか?下のスイッチを変えると出来ます!
安物,安物もいいですよね!
返信,はい!
部屋,私の部屋はちょっと狭いかな...
変更,お?
歴史,歴史探訪、いいですね！
英語,出来ると便利!
ドライバー,安全運転!
安全運転,第一!
ホワイト,真っ白!
ホワイトノイズ,眠れないとき、お勧め!
北陸新幹線,速い!
北海道,広い!
青森県,ねぷた祭り!
ねぷた,一回は見てみたいです!
ねぷた祭り,一回は見てみたいです!
ホテル,いいですよね!
秋田県,きりたんぽ鍋!
都道府県,47全て言えますか?
